index,study_id,id,author,year,group,group_id,group_desc,url,country,region,city,time_MAX,time_50,time_MIN,detailed_time,exp_dur,fu_dur,age_base,age_category,age_SD,days_ps,days_cat,yrs_ps,stroke_type,terminal_dropout,outcome_name,outcome_extremity,ue_subscale,le_subscale,outcomenamecat,SCOAR_outcome,p_outcome_stated,itt_analysis,base_n,base_m,base_sd,difference_score,term_n,term_m,term_sd,diff_base,diff_term,fu_n,fu_m,fu_sd,est_corr,term_diff,term_s_diff,fu_diff,fu_s_diff,term_d,fu_d,j_corr_factor,term_g,aaa,fu_g,term_Vd,fu_Vd,term_Vg,SE,termvginv,fu_Vg,chck2,notes
14.00,6.00,bale2008,bale,2008.00,ctrl,12.00,training as usual,http://www.ncbi.nlm.nih.gov/pubmed/18955423,norway,,Førde,16.67,16.67,16.67,1.00,28.00,,64.90,75th Percentile,,32.00,<90days,0.087671233,1.00,0.00,gait speed SSV,le,,speed,speed,lohse,0.00,1.00,10.00,0.38,0.30,,10.00,0.46,0.30,,,,,,0.50,0.08,0.30,,0.30,0.27,,0.91,0.24,0.49,0.00,0.10,,0.09,0.29,11.55,,,
15.00,6.00,bale2008,bale,2008.00,exp,13.00,functional strength training,http://www.ncbi.nlm.nih.gov/pubmed/18955423,norway,,Førde,16.67,16.67,16.67,1.00,28.00,,60.80,50th Percentile,,49.40,<90days,0.135342466,1.00,0.00,gait speed SSV,le,,speed,speed,lohse,0.00,1.00,8.00,0.13,0.20,,8.00,0.36,0.20,,,,,,0.50,0.23,0.20,,0.20,1.15,,0.89,1.02,1.01,0.00,0.21,,0.16,0.41,6.09,,,
16.00,7.00,barbeau2003,barbeau,2003.00,exp,14.00,locomotor training with full weight bearing + CPT,http://www.ncbi.nlm.nih.gov/pubmed/14586912,canada,quebec,montreal,0.00,0.00,0.00,,42.00,112.00,66.70,75th Percentile,,78.40,<90days,0.214794521,0.00,14.00,gait speed overground,le,,speed,speed,lohse,1.00,0.00,50.00,0.17,0.18,,36.00,,,,,23.00,,,0.50,,0.18,,0.18,,,0.98,0.00,0.00,0.00,,,,0.00,,,,
17.00,7.00,barbeau2003,barbeau,2003.00,exp,15.00,body weight supported treadmill training,http://www.ncbi.nlm.nih.gov/pubmed/14586912,canada,quebec,montreal,0.00,0.00,0.00,,42.00,112.00,66.50,75th Percentile,,68.10,<90days,0.186575342,0.00,7.00,gait speed overground,le,,speed,speed,lohse,1.00,0.00,50.00,0.18,0.16,,43.00,,,,,29.00,,,0.50,,0.16,,0.16,,,0.98,0.00,0.00,0.00,,,,0.00,,,,
18.00,8.00,blennerhassett2004,blennerhassett,2004.00,exp,16.00,targeted lower limb mobility therapy + usual therapy,http://www.ncbi.nlm.nih.gov/pubmed/15574110,australia,victoria,melbourne,31.20,31.20,31.20,1.00,28.00,180.00,53.90,50th Percentile,19.80,36.00,<90days,0.098630137,1.00,0.00,6minwt,le,,capacity,capacity,lohse,0.00,1.00,15.00,183.00,85.00,,15.00,404.00,101.00,0.00,0.00,15.00,416.00,171.00,0.50,221.00,93.34,233.00,135.03,2.37,1.73,0.95,2.24,1.50,1.63,0.25,0.17,0.23,0.48,4.41,0.15,Yes,
19.00,8.00,blennerhassett2004,blennerhassett,2004.00,exp,17.00,targeted upper extremity intervention + usual therapy,http://www.ncbi.nlm.nih.gov/pubmed/15574110,australia,victoria,melbourne,31.80,31.80,31.80,1.00,28.00,180.00,56.30,50th Percentile,10.50,51.10,<90days,0.14,1.00,0.00,JTHFT-time,ue,,,other,lohse,0.00,1.00,11.00,41.80,18.40,,11.00,24.30,11.30,0.00,0.00,11.00,23.60,12.20,0.50,-17.50,15.27,-18.20,15.61,1.15,1.17,0.92,1.06,1.03,1.08,0.15,0.15,0.13,0.36,7.79,0.13,Yes,sign reversed for time measure
22.00,9.00,boake2007,boake,2007.00,ctrl,18.00,conventional therapy,http://www.ncbi.nlm.nih.gov/pubmed/17172550,usa,TX,houston,36.00,36.00,36.00,1.00,14.00,90.00,58.90,50th Percentile,,14.00,<90days,0.038356164,1.00,4.00,fma-ue,ue,fma,,fma,lohse,1.00,0.00,11.00,36.71,14.22,,9.00,46.71,14.88,0.00,0.00,7.00,50.14,10.88,0.50,10.00,14.52,13.43,13.07,0.69,1.03,0.92,0.64,0.80,0.95,0.11,0.14,0.10,0.31,10.43,0.12,Yes,
23.00,9.00,boake2007,boake,2007.00,exp,19.00,CIMT,http://www.ncbi.nlm.nih.gov/pubmed/17172550,usa,TX,houston,162.00,106.00,36.00,1.00,14.00,90.00,63.10,50th Percentile,,14.00,<90days,0.038356164,1.00,1.00,fma-ue,ue,fma,,fma,lohse,1.00,0.00,10.00,29.44,12.11,,9.00,47.89,6.71,0.00,0.00,9.00,53.44,8.63,0.50,18.45,9.94,24.00,10.62,1.86,2.26,0.91,1.70,1.30,2.07,0.27,0.36,0.23,0.48,4.39,0.30,Yes,
24.00,10.00,bolognini2011,bolognini,2011.00,ctrl,20.00,sham tDCS + CIMT,http://www.ncbi.nlm.nih.gov/pubmed/21803933,italy,,milan,184.00,112.00,40.00,1.00,14.00,42.00,50.80,25th Percentile,,780.00,>1year,2.136986301,1.00,0.00,jebsen taylor hand function,ue,,,other,lohse,1.00,0.00,7.00,95.68,105.80,,7.00,81.83,105.80,,,7.00,86.79,99.59,0.50,-13.85,105.80,-8.89,102.74,0.13,0.09,0.87,0.11,0.34,0.08,0.14,0.14,0.11,0.33,9.18,0.11,,reverse the sign for a time based DV; means and SDs estimated from figure 2
25.00,10.00,bolognini2011,bolognini,2011.00,exp,21.00,tDCS + CIMT,http://www.ncbi.nlm.nih.gov/pubmed/21803933,italy,,milan,184.00,112.00,40.00,1.00,14.00,42.00,42.57,25th Percentile,,1332.00,>1year,3.649315068,1.00,0.00,jebsen taylor hand function,ue,,,other,lohse,1.00,0.00,7.00,100.65,103.01,,7.00,67.97,93.37,,,7.00,72.16,91.15,0.50,-32.68,98.31,-28.49,97.26,0.33,0.29,0.87,0.29,0.54,0.25,0.15,0.15,0.11,0.34,8.77,0.11,,reverse the sign for a time based DV; means and SDs estimated from figure 2
26.00,11.00,brock2011,brock,2011.00,ctrl,22.00,"""task practice"" intervention",http://www.ncbi.nlm.nih.gov/pubmed/21788266,australia,victoria,melbourne,6.00,6.00,6.00,1.00,14.00,,56.60,50th Percentile,15.80,63.60,<90days,0.174246575,1.00,1.00,6minwt,le,,capacity,capacity,lohse,1.00,0.00,15.00,78.50,61.30,,14.00,119.50,80.20,0.00,0.00,,,,0.50,41.00,71.03,,61.30,0.58,,0.95,0.55,0.74,0.00,0.08,,0.07,0.26,14.38,,Yes,
27.00,11.00,brock2011,brock,2011.00,exp,23.00,bobath + task specific practice,http://www.ncbi.nlm.nih.gov/pubmed/21788266,australia,victoria,melbourne,6.00,6.00,6.00,1.00,14.00,,61.30,50th Percentile,13.00,60.30,<90days,0.165205479,1.00,2.00,6minwt,le,,capacity,capacity,lohse,1.00,0.00,14.00,102.60,64.50,,12.00,192.50,113.50,0.00,0.00,,,,0.50,89.90,90.32,,64.50,1.00,,0.94,0.94,0.97,0.00,0.11,,0.09,0.31,10.57,,Yes,
30.00,12.00,broeren2008,broeren,2008.00,ctrl,24.00,continuation of previous therapy,http://www.ncbi.nlm.nih.gov/pubmed/18667809,sweden,,gothenburg,0.00,0.00,0.00,,28.00,,68.00,75th Percentile,,2160.00,>1year,5.917808219,1.00,0.00,box and block test,ue,,,other,lohse,1.00,0.00,11.00,40.20,17.20,,11.00,40.60,16.00,0.00,0.00,,,,0.50,0.40,16.61,,17.20,0.02,,0.92,0.02,0.15,0.00,0.09,,0.08,0.28,12.91,,Yes,
31.00,12.00,broeren2008,broeren,2008.00,exp,25.00,computer gaming therapy + conventional therapy,http://www.ncbi.nlm.nih.gov/pubmed/18667809,sweden,,gothenburg,0.00,0.00,0.00,,28.00,,67.00,75th Percentile,,1869.00,>1year,5.120547945,1.00,0.00,box and block test,ue,,,other,lohse,1.00,0.00,11.00,37.50,14.60,,11.00,40.30,16.50,0.00,0.00,,,,0.50,2.80,15.58,,14.60,0.18,,0.92,0.17,0.41,0.00,0.09,,0.08,0.28,12.70,,Yes,
32.00,13.00,brokaw2014,brokaw,2014.00,ctrl,26.00,conventional therapy,http://www.ncbi.nlm.nih.gov/pubmed/24297763,usa,DC,washington DC,12.00,12.00,12.00,1.00,30.00,,57.00,50th Percentile,,1095.00,>1year,3,0.00,0.00,fma,ue,fma,,fma,lohse,0.00,0.00,5.00,17.60,4.35,,5.00,18.39,4.38,,,,,,0.50,0.79,4.37,,4.35,0.18,,0.80,0.14,0.38,0.00,0.20,,0.13,0.36,7.69,,,means and SDs estimated from Figure 4
33.00,13.00,brokaw2014,brokaw,2014.00,exp,27.00,robot-assisted UE therapy,http://www.ncbi.nlm.nih.gov/pubmed/24297763,usa,DC,washington DC,12.00,12.00,12.00,1.00,30.00,,57.00,50th Percentile,,1095.00,>1year,3,0.00,0.00,fma,ue,fma,,fma,lohse,0.00,0.00,7.00,25.75,11.03,,7.00,28.47,12.30,,,,,,0.50,2.72,11.68,,11.03,0.23,,0.87,0.20,0.45,0.00,0.15,,0.11,0.33,9.01,,,means and SDs estimated from Figure 4
34.00,14.00,brunner2012,brunner,2012.00,exp,28.00,bimanual therapy,http://www.ncbi.nlm.nih.gov/pubmed/22561098,norway,,bergen,26.00,26.00,26.00,1.00,28.00,118.00,64.80,75th Percentile,,36.90,<90days,0.10109589,1.00,1.00,arat,ue,arat,,arat,lohse,1.00,0.00,16.00,30.07,13.99,,15.00,45.27,13.80,,,15.00,45.53,14.49,0.50,15.20,13.90,15.46,14.23,1.09,1.09,0.95,1.04,1.02,1.03,0.10,0.10,0.09,0.30,11.11,0.09,,
35.00,14.00,brunner2012,brunner,2012.00,exp,29.00,modified CIMT,http://www.ncbi.nlm.nih.gov/pubmed/22561098,norway,,bergen,106.00,66.00,26.00,1.00,28.00,118.00,61.00,50th Percentile,,48.43,<90days,0.132684932,1.00,1.00,arat,ue,arat,,arat,lohse,1.00,0.00,14.00,26.46,13.18,,13.00,39.69,13.40,,,13.00,44.23,15.08,0.50,13.23,13.29,17.77,14.12,1.00,1.26,0.94,0.94,0.97,1.18,0.11,0.13,0.09,0.31,10.57,0.11,,
36.00,15.00,burgar2011,burgar,2011.00,exp,30.00,robot lo,http://www.ncbi.nlm.nih.gov/pubmed/21674393,usa,TX,temple,8.60,8.60,8.60,1.00,21.00,180.00,62.50,50th Percentile,,17.30,<90days,0.04739726,1.00,5.00,fma,ue,fma,,fma,lohse,1.00,0.00,19.00,26.70,21.79,1.00,19.00,33.50,,1.00,0.00,14.00,42.60,,0.50,6.80,21.79,15.90,21.79,0.31,0.73,0.96,0.30,0.55,0.70,0.06,0.07,0.05,0.23,19.75,0.06,Yes,
37.00,15.00,burgar2011,burgar,2011.00,ctrl,31.00,standard care,http://www.ncbi.nlm.nih.gov/pubmed/21674393,usa,TX,temple,9.40,9.40,9.40,1.00,21.00,180.00,68.10,75th Percentile,,10.60,<90days,0.029041096,1.00,6.00,fma,ue,fma,,fma,lohse,1.00,0.00,18.00,24.20,20.36,1.00,18.00,38.20,,1.00,0.00,12.00,39.50,,0.50,14.00,20.36,15.30,20.36,0.69,0.75,0.96,0.66,0.81,0.72,0.07,0.07,0.06,0.25,15.96,0.06,Yes,
38.00,15.00,burgar2011,burgar,2011.00,exp,32.00,robot hi,http://www.ncbi.nlm.nih.gov/pubmed/21674393,usa,TX,temple,15.80,15.80,15.80,1.00,21.00,180.00,58.60,50th Percentile,,16.60,<90days,0.045479452,1.00,7.00,fma,ue,fma,,fma,lohse,1.00,0.00,17.00,19.00,15.26,1.00,17.00,33.40,,1.00,0.00,11.00,42.60,,0.50,14.40,15.26,23.60,15.26,0.94,1.55,0.95,0.90,0.95,1.47,0.09,0.13,0.08,0.28,12.97,0.12,Yes,
39.00,16.00,carmeli2011,carmeli,2011.00,ctrl,33.00,conventional PT and OT,http://www.ncbi.nlm.nih.gov/pubmed/20740477,israel,,tel aviv,0.00,0.00,0.00,,21.00,31.00,62.50,50th Percentile,,11.25,<90days,0.030821918,1.00,1.00,fma,ue,fma,,fma,lohse,0.00,0.00,15.00,49.30,9.40,,15.00,52.40,8.10,,,15.00,51.90,6.30,0.50,3.10,8.77,2.60,8.00,0.35,0.32,0.95,0.33,0.58,0.31,0.07,0.07,0.06,0.25,15.79,0.06,,
40.00,16.00,carmeli2011,carmeli,2011.00,exp,34.00,handtutor augmented therapy,http://www.ncbi.nlm.nih.gov/pubmed/20740477,israel,,tel aviv,0.00,0.00,0.00,,21.00,31.00,57.80,50th Percentile,,8.41,<90days,0.023041096,1.00,2.00,fma,ue,fma,,fma,lohse,0.00,0.00,16.00,46.80,13.10,,16.00,56.60,6.60,,,16.00,56.90,7.00,0.50,9.80,10.37,10.10,10.50,0.94,0.96,0.95,0.90,0.95,0.91,0.09,0.09,0.08,0.29,12.28,0.08,,
41.00,17.00,cauraugh2003,cauraugh,2003.00,ctrl,35.00,bilateral arm training,http://www.ncbi.nlm.nih.gov/pubmed/14568122,usa,FL,gainesville,6.00,6.00,6.00,1.00,14.00,,66.40,75th Percentile,,1022.00,>1year,2.8,0.00,0.00,box and block test,ue,,,other,lohse,0.00,0.00,6.00,15.10,7.80,,6.00,14.50,11.30,,,,,,0.50,-0.60,9.71,,7.80,-0.06,,0.84,-0.05,#NUM!,0.00,0.17,,0.12,0.34,8.44,,,
42.00,17.00,cauraugh2003,cauraugh,2003.00,exp,36.00,bilateral arm training + 5s stimulation,http://www.ncbi.nlm.nih.gov/pubmed/14568122,usa,FL,gainesville,6.00,6.00,6.00,1.00,14.00,,66.40,75th Percentile,,1022.00,>1year,2.8,0.00,0.00,box and block test,ue,,,other,lohse,0.00,0.00,10.00,15.70,10.12,,10.00,19.50,7.59,,,,,,0.50,3.80,8.94,,10.12,0.42,,0.91,0.39,0.62,0.00,0.11,,0.09,0.30,10.97,,,
43.00,17.00,cauraugh2003,cauraugh,2003.00,exp,37.00,bilateral arm training + 10s stimulation,http://www.ncbi.nlm.nih.gov/pubmed/14568122,usa,FL,gainesville,6.00,6.00,6.00,1.00,14.00,,66.40,75th Percentile,,1022.00,>1year,2.8,0.00,0.00,box and block test,ue,,,other,lohse,0.00,0.00,10.00,22.90,15.80,,10.00,27.80,15.50,,,,,,0.50,4.90,15.65,,15.80,0.31,,0.91,0.29,0.53,0.00,0.10,,0.09,0.30,11.40,,,
44.00,18.00,chan2009,chan,2009.00,ctrl,38.00,bilateral OT without FES,http://www.ncbi.nlm.nih.gov/pubmed/19074684,china,,hong kong,20.00,20.00,20.00,,,,45.00,25th Percentile,,363.00,<1year,0.994520548,0.00,0.00,functiol test of the hemiparetic UE,ue,,,other,lohse,1.00,1.00,10.00,2.80,0.60,,10.00,3.10,0.60,,,,,,0.50,0.30,0.60,,0.60,0.50,,0.91,0.46,0.68,0.00,0.11,,0.09,0.31,10.63,,,
45.00,18.00,chan2009,chan,2009.00,exp,39.00,bilateral OT with FES,http://www.ncbi.nlm.nih.gov/pubmed/19074684,china,,hong kong,20.00,20.00,20.00,,,,46.00,25th Percentile,,543.00,>1year,1.487671233,0.00,0.00,functiol test of the hemiparetic UE,ue,,,other,lohse,1.00,1.00,10.00,2.40,0.80,,10.00,3.70,0.50,,,,,,0.50,1.30,0.67,,0.80,1.95,,0.91,1.78,1.33,0.00,0.29,,0.24,0.49,4.13,,,
46.00,19.00,chen2011,chen,2011.00,ctrl,40.00,conventional therapy,http://www.ncbi.nlm.nih.gov/pubmed/21504953,taiwan,,hualien,20.00,20.00,20.00,1.00,42.00,,62.30,50th Percentile,,11.00,<90days,0.030136986,1.00,1.00,fma-le,le,,,fma,lohse,0.00,0.00,17.00,6.00,,1.00,16.00,6.00,,0.00,0.00,,,,0.50,0.00,,,,,,0.95,0.00,0.00,0.00,,,,0.00,,,Yes,
47.00,19.00,chen2011,chen,2011.00,exp,41.00,thermal stimulation + conventional therapy,http://www.ncbi.nlm.nih.gov/pubmed/21504953,taiwan,,hualien,20.00,20.00,20.00,1.00,42.00,,58.00,50th Percentile,,11.00,<90days,0.030136986,1.00,1.00,fma-le,le,,,fma,lohse,0.00,0.00,18.00,7.00,,1.00,17.00,14.00,,1.00,0.00,,,,0.50,7.00,,,,,,0.96,0.00,0.00,0.00,,,,0.00,,,Yes,
48.00,20.00,cho2013,cho,2013.00,ctrl,42.00,treadmill training + conventional therapy,http://www.ncbi.nlm.nih.gov/pubmed/23598900,south korea,,seoul,33.00,33.00,33.00,1.00,42.00,,65.14,75th Percentile,4.74,312.00,<1year,0.854794521,1.00,1.00,BBS,le,,,balance,lohse,0.00,0.00,8.00,35.14,3.53,,7.00,37.00,3.21,0.00,0.00,,,,0.50,1.86,3.39,,3.53,0.55,,0.89,0.49,0.70,0.00,0.14,,0.11,0.34,8.80,,Yes,
49.00,20.00,cho2013,cho,2013.00,exp,43.00,virtual reality walking + conventional therapy,http://www.ncbi.nlm.nih.gov/pubmed/23598900,south korea,,seoul,33.00,33.00,33.00,1.00,42.00,,64.57,75th Percentile,4.35,288.28,<1year,0.789808219,1.00,1.00,BBS,le,,,balance,lohse,0.00,0.00,8.00,36.71,2.28,,7.00,40.85,1.67,0.00,0.00,,,,0.50,4.14,2.02,,2.28,2.05,,0.89,1.82,1.35,0.00,0.39,,0.31,0.55,3.27,,Yes,
54.00,21.00,conroy2011,conroy,2011.00,ctrl,44.00,intensive conventional arm therapy,http://www.ncbi.nlm.nih.gov/pubmed/21849168,usa,MD,baltimore,18.00,18.00,18.00,1.00,42.00,126.00,56.00,50th Percentile,,1460.00,>1year,4,1.00,2.00,fma-ue,ue,fma,,fma,lohse,1.00,0.00,21.00,18.20,12.50,1.00,19.00,19.39,,1.00,0.00,19.00,20.02,,0.50,1.19,12.50,1.82,12.50,0.10,0.15,0.96,0.09,0.30,0.14,0.05,0.05,0.04,0.21,22.59,0.04,,
55.00,21.00,conroy2011,conroy,2011.00,exp,45.00,robot assisted therapy without gravity compensation,http://www.ncbi.nlm.nih.gov/pubmed/21849168,usa,MD,baltimore,18.00,18.00,18.00,1.00,42.00,126.00,57.00,50th Percentile,,1095.00,>1year,3,1.00,3.00,fma-ue,ue,fma,,fma,lohse,1.00,0.00,20.00,20.30,14.70,1.00,17.00,23.27,,1.00,0.00,17.00,23.60,,0.50,2.97,14.70,3.30,14.70,0.20,0.22,0.96,0.19,0.44,0.22,0.05,0.05,0.05,0.22,21.27,0.05,,
56.00,21.00,conroy2011,conroy,2011.00,exp,46.00,robot assisted therapy with gravity compensation,http://www.ncbi.nlm.nih.gov/pubmed/21849168,usa,MD,baltimore,18.00,18.00,18.00,1.00,42.00,126.00,60.00,50th Percentile,,1825.00,>1year,5,1.00,5.00,fma-ue,ue,fma,,fma,lohse,1.00,0.00,21.00,16.50,10.60,1.00,16.00,18.20,,1.00,0.00,16.00,19.11,,0.50,1.70,10.60,2.61,10.60,0.16,0.25,0.96,0.15,0.39,0.24,0.05,0.05,0.04,0.21,22.40,0.05,,
57.00,22.00,cooke2010,cooke,2010.00,ctrl,47.00,conventional therapy,http://www.ncbi.nlm.nih.gov/pubmed/19704158,uk,norfolk,norwich,9.20,9.20,9.20,1.00,42.00,84.00,66.40,75th Percentile,,36.76,<90days,0.100712329,1.00,7.00,10mwt,le,,speed,speed,lohse,1.00,1.00,38.00,0.17,0.22,,31.00,0.30,0.35,0.00,0.00,24.00,0.44,0.39,0.50,0.13,0.29,0.27,0.30,0.45,0.90,0.98,0.44,0.67,0.89,0.03,0.04,0.03,0.17,35.92,0.04,Yes,
58.00,22.00,cooke2010,cooke,2010.00,exp,48.00,CPT+CPT,http://www.ncbi.nlm.nih.gov/pubmed/19704158,uk,norfolk,norwich,23.00,23.00,23.00,1.00,42.00,84.00,67.50,75th Percentile,,32.43,<90days,0.088849315,1.00,3.00,10mwt,le,,speed,speed,lohse,1.00,1.00,35.00,0.27,0.36,,32.00,0.55,0.49,0.00,0.00,28.00,0.59,0.48,0.50,0.28,0.43,0.32,0.42,0.66,0.77,0.98,0.64,0.80,0.75,0.03,0.04,0.03,0.18,30.13,0.04,Yes,
59.00,22.00,cooke2010,cooke,2010.00,exp,49.00,CPT+FST,http://www.ncbi.nlm.nih.gov/pubmed/19704158,uk,norfolk,norwich,23.50,23.50,23.50,1.00,42.00,84.00,71.20,75th Percentile,,33.86,<90days,0.092767123,1.00,0.00,10mwt,le,,speed,speed,lohse,1.00,1.00,36.00,0.23,0.29,,36.00,0.42,0.39,0.00,0.00,29.00,0.46,0.37,0.50,0.19,0.34,0.23,0.33,0.55,0.70,0.98,0.54,0.74,0.69,0.03,0.03,0.03,0.18,32.62,0.03,Yes,
