index,study_id,id,author,year,group,group_id,group_desc,url,country,region,city,time_MAX,time_50,MissingTime50,time_MIN,detailed_time,exp_dur,fu_dur,age_base,age_category,age_SD,days_ps,days_cat,yrs_ps,stroke_type,nihss_base,mmse_base,mMmse_base,fim_base,brunstrom_base,frenchay_base,fac_base,barthel_base,mBarthel_base,motricity_base,BBS_base,BBT_base,gcs_base,MAS_base,sis_base,rivermead_base,ashworth_base,mAshworth_base,rankin_base,bdi_base,cesd_base,ops_base,terminal_dropout,outcome_name,outcome_extremity,ue_subscale,le_subscale,outcomenamecat,SCOAR_outcome,p_outcome_stated,itt_analysis,base_n,base_m,base_sd,difference_score,term_n,term_m,term_sd,diff_base,diff_term,fu_n,fu_m,fu_sd,est_corr,term_diff,term_s_diff,fu_diff,fu_s_diff,term_d,fu_d,j_corr_factor,term_g,MissingTermG,MissingData,fu_g,term_Vd,fu_Vd,term_Vg,termvginv,fu_Vg,chck2,notes
439,125,pandian2012,pandian,2012,exp,279,brunnstrom based therapy,http://www.ncbi.nlm.nih.gov/pubmed/22703742,India,new delhi,new delhi,12,12,Time 50 OK,12,1,28,,47.4,25th Percentile,,1016.1,>1year,2.783835616,1,,,,,,,,,,,,,,,,,,,,,,,0,fma-wh,ue,fma,,fma,lohse,0,0,15,14.67,6.1,,15,18.47,4.38,,,,,,0.5,3.8,5.310103577,,6.1,0.715616926,,0.945454545,0.676583276,Term G OK,All OK,,0.08373692,,0.074851117,13.35985407,,,
747,207,yang2010,yang,2010,exp,473,late intervention BWSTT,http://www.ncbi.nlm.nih.gov/pubmed/20382280,Taiwan,taipei,taipei,10,10,Time 50 OK,10,1,28,,48.1,25th Percentile,13.64,1058.5,>1year,2.9,0,,,,,,,,,,,,,,,,,,,,,,,0,fma-le,le,,,other,lohse,0,0,5,23.6,2.5,,5,28.4,3.6,,,5,,,0.5,4.8,3.099193443,,2.5,1.54879006,,0.8,1.239032048,Term G OK,All OK,,0.439875065,,0.281520042,3.552144966,,,
12,5,arya2012,arya,2012,ctrl,10,standard care,http://www.ncbi.nlm.nih.gov/pubmed/22668675,India,uttar pradesh,lucknow,20,20,Time 50 OK,20,1,28,56,50.21,25th Percentile,,86.59,<90days,0.237232877,1,5.29,,,,,,,,,,,,,,,,,,,,,,0,fma-ue,ue,fma,,fma,lohse,0,1,52,9.88,8.82,,52,16.42,11.16,0,0,52,19,12.09,0.5,6.54,10.05828017,9.12,10.5820721,0.650210562,0.861834989,0.985221675,0.640601539,Term G OK,All OK,0.849098512,0.023295902,0.026372688,0.022612441,44.22344319,0.025598959,Yes,
628,172,taub2006,taub,2006,ctrl,392,general fitness,http://stroke.ahajournals.org/content/37/4/1045.abstract,USA,AL,birmingham,60,60,Time 50 OK,60,1,14,730,50.7,25th Percentile,,1934.5,>1year,5.3,0,,,,,,,,,,,,,,,,,,,,,,,0,actual amount of use test,,,,other,lohse,0,0,20,1,0.7,,20,0.9,0.6,,,,,,0.5,-0.1,0.651920241,,0.7,-0.153392998,,0.96,-0.147257278,Term G OK,All OK,,0.050588235,,0.046622118,21.449047,,Yes,
24,10,bolognini2011,bolognini,2011,ctrl,20,sham tDCS + CIMT,http://www.ncbi.nlm.nih.gov/pubmed/21803933,Italy,milan,milan,184,112,Time 50 OK,40,1,14,42,50.8,25th Percentile,,780,>1year,2.136986301,1,,29.57,,,,,,15.14,,,,,,,,,,,,12,,,0,jebsen taylor hand function,ue,,,other,lohse,1,0,7,95.68,105.8,,7,81.83,105.8,,,7,86.79,99.59,0.5,-13.85,105.8,-8.89,102.7419294,0.130907372,0.086527478,0.869565217,0.113832498,Term G OK,All OK,0.075241285,0.144081196,0.143391929,0.108946084,9.178852174,0.108424899,,reverse the sign for a time based DV; means and SDs estimated from figure 2
473,134,peurala2005,peurala,2005,exp,302,BWS gait training + CPT,http://www.ncbi.nlm.nih.gov/pubmed/16084808,Finland,kuopio,kuopio,20.4,20.4,Time 50 OK,20.4,3,21,,51.2,25th Percentile,7.9,876,>1year,2.4,1,,,,,,,4,,,,,,,,,,,,,,,,0,10mwt MAX,le,,speed,speed,lohse,0,0,15,39.6,35.4,,15,30.3,23.6,,,14,,,0.5,-9.3,30.08421513,,35.4,0.309132213,,0.945454545,0.292270456,Term G OK,All OK,,0.069852091,,0.062439687,16.01545504,,,sign reversed for time measure
681,188,waldman2013,waldman,2013,exp,427,training using a portable robot,http://www.ncbi.nlm.nih.gov/pubmed/23648617,USA,IL,evanston,9,9,Time 50 OK,9,3,42,84,51.3,25th Percentile,8,1239,>1year,3.394520548,0,,,,,,,,,,,,,,,,,,,,,,,1,STREAM,,,,other,lohse,0,0,12,28.9,5,,11,33,7.1,,,11,33.2,8.8,0.5,4.1,6.090976933,4.3,7.069047218,0.673126831,0.608285653,0.930232558,0.626164494,Term G OK,All OK,0.565847119,0.102212489,0.098750476,0.0884478,11.30610371,0.085452008,,
450,129,park2013,park,2013,exp,287,overground gait training,https://www.jstage.jst.go.jp/article/jpts/25/4/25_2012-353/_pdf,South korea,daejeon,daejeon,20,20,Time 50 OK,20,1,28,,51.3,25th Percentile,11,495,>1year,1.356164384,1,,>23,,,,,4,,,,,,,,,,,,,,,,0,6minwt,le,,capacity,capacity,lohse,0,0,10,92.5,19.9,,10,121,26.1,,,,,,0.5,28.5,23.20797277,,19.9,1.22802626,,0.914285714,1.122766866,Term G OK,All OK,,0.175402425,,0.146622109,6.820253827,,,
13,5,arya2012,arya,2012,exp,11,"""meaningful"" task specific therapy",http://www.ncbi.nlm.nih.gov/pubmed/22668675,India,uttar pradesh,lucknow,20,20,Time 50 OK,20,1,28,56,51.67,25th Percentile,,83.44,<90days,0.22860274,1,5.63,,,,,,,,,,,,,,,,,,,,,,0,fma-ue,ue,fma,,fma,lohse,0,1,51,11.98,9.74,,51,29,14.7,0,0,51,32.02,15.47,0.5,17.02,12.46911384,20.04,12.92649411,1.364972701,1.550304346,0.984924623,1.344395223,Term G OK,All OK,1.526932924,0.037874024,0.043171015,0.036740701,27.21777138,0.041879188,Yes,
440,125,pandian2012,pandian,2012,exp,280,motor relearning programme,http://www.ncbi.nlm.nih.gov/pubmed/22703742,India,new delhi,new delhi,12,12,Time 50 OK,12,1,28,,51.67,25th Percentile,,1088,>1year,2.980821918,1,,,,,,,,,,,,,,,,,,,,,,,0,fma-wh,ue,fma,,fma,lohse,0,0,15,12.33,3.26,,15,14.13,3.18,,,,,,0.5,1.8,3.220248438,,3.26,0.558963085,,0.945454545,0.528474189,Term G OK,All OK,,0.077081324,,0.068901785,14.5134121,,,
270,81,kim2009,kim,2009,ctrl,178,CPT,http://www.ncbi.nlm.nih.gov/pubmed/19692788,South korea,seoul,seoul,10.72,10.72,Time 50 OK,10.72,1,28,,51.75,25th Percentile,7.09,727.5,>1year,1.993150685,0,,,,,,,,,,,,,,,,,,,,,,,0,bbs,le,,balance,balance,lohse,0,0,12,46.67,3.75,,12,48.25,4.22,,,,,,0.5,1.58,3.991923095,,3.75,0.395799208,,0.930232558,0.36818531,Term G OK,All OK,,0.089860709,,0.077759402,12.8601812,,,
451,129,park2013,park,2013,exp,288,treadmill gait training,https://www.jstage.jst.go.jp/article/jpts/25/4/25_2012-353/_pdf,South korea,daejeon,daejeon,20,20,Time 50 OK,20,1,28,,51.9,25th Percentile,8.9,702,>1year,1.923287671,1,,>23,,,,,4.2,,,,,,,,,,,,,,,,0,6minwt,le,,capacity,capacity,lohse,0,0,10,106.5,14.2,,10,121,26.1,,,,,,0.5,14.5,21.01011661,,14.2,0.690143718,,0.914285714,0.630988542,Term G OK,All OK,,0.123814918,,0.103499164,9.661913791,,,
730,202,wu2010,wu,2010,exp,460,distributed CIMT,http://www.ncbi.nlm.nih.gov/pubmed/20947493,Taiwan,taipei,taipei,156,93,Time 50 OK,30,1,21,,51.91,25th Percentile,,447.3,>1year,1.225479452,0,,27.82,,,"[4,6]",,,,,,,,,,,,,>2,,,,,0,wmft-time,ue,wmft,,wmft,lohse,1,0,22,8.77,7.67,,21,4.02,2.49,,,,,,0.5,-4.75,5.758152016,,7.67,0.824917437,,0.963855422,0.795101144,Term G OK,All OK,,0.060920199,,0.056595918,17.66911882,,,"Outcome measure is WMFT-time, so lower numbers mean better performance"
327,96,lin2010,lin,2010,exp,212,bilateral symmetric movements,http://www.ncbi.nlm.nih.gov/pubmed/19729583,Taiwan,taoyuan,taoyuan,30,30,Time 50 OK,30,1,21,,52.08,25th Percentile,,418.2,>1year,1.145753425,0,,>24,,,4.5,,,,,,,,,<2,,,,,,,,,0,fma,ue,fma,,fma,lohse,0,0,16,48,12.35,,16,57.63,1.03,,,,,,0.5,9.63,8.763087355,,12.35,1.098927765,,0.949152542,1.043050082,Term G OK,All OK,,0.10023882,,0.090304205,11.07368145,,,
619,169,sungkarat2011,sungkarat,2011,exp,387,gait training with a sensored insole and augmented feedback,http://www.ncbi.nlm.nih.gov/pubmed/21148267,Thailand,chiang mai,chiang mai,15,15,Time 50 OK,15,1,21,,52.112,25th Percentile,7.17,118.2,<1year,0.323835616,0,,,,,,,,,,,,,,,,,,,,,,3.55,3,gait speed,le,,speed,speed,lohse,1,0,17,23.52,10.8,,17,35.09,13.6,,,,,,0.5,11.57,12.28006515,,10.8,0.942177412,,0.952380952,0.897311821,Term G OK,All OK,,0.084932302,,0.077036102,12.98092679,,,
210,63,hsieh2012,hsieh,2012,exp,136,low dose robot assisted therapy,http://www.ncbi.nlm.nih.gov/pubmed/22895994,Taiwan,taipei,taipei,30,30,Time 50 OK,30,4,28,,52.2,25th Percentile,,840,>1year,2.301369863,1,,28,,,,,,,,,,,,,,,,<3,,,,,0,fma-ue,ue,fma,,fma,lohse,1,1,18,43.1,9.18,,18,46.3,10.3,,,,,,0.5,3.2,9.75608528,,9.18,0.328000413,,0.955223881,0.313313827,Term G OK,All OK,,0.058544008,,0.053418636,18.72005867,,Yes,
729,202,wu2010,wu,2010,exp,459,bilateral arm training,http://www.ncbi.nlm.nih.gov/pubmed/20947493,Taiwan,taipei,taipei,30,30,Time 50 OK,30,1,21,,52.22,25th Percentile,,477.6,>1year,1.308493151,0,,28.05,,,"[4,6]",,,,,,,,,,,,,>2,,,,,0,wmft-time,ue,wmft,,wmft,lohse,1,0,22,7.57,8.79,,22,4.25,5.03,,,,,,0.5,-3.32,7.16118007,,8.79,0.463610741,,0.963855422,0.446853726,Term G OK,All OK,,0.05033943,,0.0467662,21.38296462,,,"Outcome measure is WMFT-time, so lower numbers mean better performance"
472,134,peurala2005,peurala,2005,ctrl,301,overground walking + CPT,http://www.ncbi.nlm.nih.gov/pubmed/16084808,Finland,kuopio,kuopio,20.4,20.4,Time 50 OK,20.4,3,21,,52.3,25th Percentile,6.8,1460,>1year,4,1,,,,,,,4.13,,,,,,,,,,,,,,,,0,10mwt MAX,le,,speed,speed,lohse,0,0,15,39.5,25.5,,15,32.1,15.9,,,14,,,0.5,-7.4,21.24923528,,25.5,0.348247826,,0.945454545,0.32925249,Term G OK,All OK,,0.070709218,,0.06320586,15.82131783,,,sign reversed for time measure
179,54,han2013,han,2013,ctrl,115,regular rehabilitation therapy and medical treatment,http://www.ncbi.nlm.nih.gov/pubmed/22801472,China,shandong,shandong,30,30,Time 50 OK,30,1,42,84,52.4,25th Percentile,,41.4,<90days,0.113424658,1,,,,,,,,51.5,,,,,,,,,,<3,,,,,1,fma-ue,ue,fma,,fma,lohse,0,0,10,6.7,2.26,,10,7.8,2.9,,,10,13,6.38,0.5,1.1,2.599769221,6.3,4.786021312,0.423114479,1.316333461,0.914285714,0.386847524,Term G OK,All OK,1.203504879,0.108951293,0.186636689,0.091074387,10.98003547,0.156013036,,
271,81,kim2009,kim,2009,exp,179,CPT + locomotor VR training,http://www.ncbi.nlm.nih.gov/pubmed/19692788,South korea,seoul,seoul,18.7,18.7,Time 50 OK,18.7,1,28,,52.42,25th Percentile,10.09,777.3,>1year,2.129589041,0,,,,,,,,,,,,,,,,,,,,,,,0,bbs,le,,balance,balance,lohse,0,0,12,44.42,5.99,,12,51.17,4.02,,,,,,0.5,6.75,5.101004803,,5.99,1.323268701,,0.930232558,1.230947629,Term G OK,All OK,,0.156293336,,0.13524572,7.393949324,,,
207,62,hsieh2011,hsieh,2011,exp,133,low dose robot assisted therapy,http://www.ncbi.nlm.nih.gov/pubmed/21436390,Taiwan,taipei,taipei,30,30,Time 50 OK,30,4,28,,52.45,25th Percentile,,390,>1year,1.068493151,0,,27.3,,,,,,,,,,,,0.57,,,,,,,,,0,fma-ue,ue,fma,,fma,lohse,1,1,6,37.67,10,,6,40,10.47,,,,,,0.5,2.33,10.2376975,,10,0.227590237,,0.842105263,0.191654936,Term G OK,All OK,,0.17098311,,0.12125118,8.247342418,,,
591,163,stein2004,stein,2004,exp,369,robot assisted training,http://www.ncbi.nlm.nih.gov/pubmed/15314537,USA,MA,boston,18,18,Time 50 OK,18,1,42,,52.5,25th Percentile,,819,>1year,2.243835616,0,,,,,,,,,,,,,,,,,,10.1,,,,,0,fma-ue,ue,fma,,fma,lohse,1,0,9,35.3,11.6,1,9,40.1,,,,,,,0.5,4.8,11.6,,11.6,0.413793103,,0.903225806,0.37374861,Term G OK,All OK,,0.120623596,,0.098406763,10.1619032,,,
661,182,varoqui2011,varoqui,2011,exp,415,balance practice with feedback (group b),http://www.ncbi.nlm.nih.gov/pubmed/21628724,France,montpellier,montpellier,3,3,Time 50 OK,3,1,28,,52.8,25th Percentile,,69.25,<90days,0.189726027,1,,,,57.75,,,3,,,,,,,,,,,2.13,,,,,0,pass,,,,other,lohse,0,0,8,28.25,4.62,,8,33.38,1.77,,,,,,0.5,5.13,3.498378196,,4.62,1.466393773,,0.888888889,1.303461131,Term G OK,All OK,,0.259394419,,0.204953615,4.879152778,,,
680,188,waldman2013,waldman,2013,ctrl,426,instructed home exercise program,http://www.ncbi.nlm.nih.gov/pubmed/23648617,USA,IL,evanston,9,9,Time 50 OK,9,3,42,84,53,25th Percentile,7.1,894,>1year,2.449315068,0,,,,,,,,,,,,,,,,,,,,,,,0,STREAM,,,,other,lohse,0,0,12,30.3,7.7,,12,31.7,8,,,12,32.5,8.3,0.5,1.4,7.85143299,2.2,8.005623024,0.178311399,0.274806844,0.930232558,0.165871069,Term G OK,All OK,0.255634274,0.084658123,0.08647995,0.073257435,13.65049158,0.074833921,,
665,184,verma2011,verma,2011,exp,419,task oriented circuit training,http://www.ncbi.nlm.nih.gov/pubmed/22120031,India,lucknow,lucknow,8.12,8.12,Time 50 OK,8.12,1,14,42,53.27,25th Percentile,8.53,42.49,<90days,0.116410959,1,5.47,26.87,,,,,,,,,,,,,,,,,,,,,0,rivermead vga,,,,other,lohse,0,1,15,32.8,4.76,,15,20.13,6.42,,,15,18.67,5.56,0.5,-12.67,5.65128304,-14.13,5.175480654,2.241968755,2.730181203,0.945454545,2.11967955,Term G OK,All OK,2.581262229,0.23421413,0.315129647,0.209360333,4.776454,0.281689443,,"higher scores indicate worse performance on RM-VGA, sign of Cohen's d switched"
474,134,peurala2005,peurala,2005,exp,303,BWS gait training with stimulation + CPT,http://www.ncbi.nlm.nih.gov/pubmed/16084808,Finland,kuopio,kuopio,20.4,20.4,Time 50 OK,20.4,3,21,,53.3,25th Percentile,8.9,949,>1year,2.6,1,,,,,,,4.1,,,,,,,,,,,,,,,,0,10mwt MAX,le,,speed,speed,lohse,0,0,15,44,36.2,,15,35.9,29.9,,,15,,,0.5,-8.1,33.1997741,,36.2,0.243977564,,0.945454545,0.230669697,Term G OK,All OK,,0.068650835,,0.061365903,16.29569437,,,sign reversed for time measure
592,163,stein2004,stein,2004,exp,370,robot aided progressive resistence training,http://www.ncbi.nlm.nih.gov/pubmed/15314537,USA,MA,boston,18,18,Time 50 OK,18,1,42,,53.3,25th Percentile,,810,>1year,2.219178082,0,,,,,,,,,,,,,,,,,,10.3,,,,,1,fma-ue,ue,fma,,fma,lohse,1,0,9,38,9.6,1,9,43.2,,,,,,,0.5,5.2,9.6,,9.6,0.541666667,,0.903225806,0.489247312,Term G OK,All OK,,0.127411265,,0.103944258,9.62054104,,,
234,69,janssen2008,janssen,2008,ctrl,152,cycling exercise,http://www.ncbi.nlm.nih.gov/pubmed/18295624,Netherlands,amsterdam,amsterdam,6,6,Time 50 OK,6,3,42,,53.3,25th Percentile,,549,>1year,1.504109589,1,,,,,,,4.7,,,,,,,,,,,,,,,,0,6minwt,le,,capacity,capacity,lohse,0,0,6,0.52,0.26,,6,0.59,0.33,,,,,,0.5,0.07,0.297069016,,0.26,0.23563548,,0.842105263,0.198429878,Term G OK,All OK,,0.171293673,,0.121471414,8.232389556,,,
453,129,park2013,park,2013,exp,290,treadmill gait training (less impaired group),https://www.jstage.jst.go.jp/article/jpts/25/4/25_2012-353/_pdf,South korea,daejeon,daejeon,20,20,Time 50 OK,20,1,28,,53.4,25th Percentile,7.1,582,>1year,1.594520548,1,,>23,,,,,5,,,,,,,,,,,,,,,,0,6minwt,le,,capacity,capacity,lohse,0,0,10,301,74.1,,10,338.2,64.5,,,,,,0.5,37.2,69.46603487,,74.1,0.535513508,,0.914285714,0.48961235,Term G OK,All OK,,0.114338736,,0.095577849,10.4626753,,,
180,54,han2013,han,2013,exp,116,CPT at increased intensity,http://www.ncbi.nlm.nih.gov/pubmed/22801472,China,shandong,shandong,60,60,Time 50 OK,60,1,42,84,53.7,25th Percentile,,42.9,<90days,0.117534247,1,,,,,,,,62.5,,,,,,,,,,<3,,,,,0,fma-ue,ue,fma,,fma,lohse,0,0,10,8.2,3.43,,10,12.3,6.55,,,10,19.7,7.09,0.5,4.1,5.228164114,11.5,5.569245909,0.784214097,2.064911514,0.914285714,0.716995746,Term G OK,All OK,1.887919098,0.130749588,0.313192978,0.109295982,9.149467178,0.261803763,,
618,169,sungkarat2011,sungkarat,2011,ctrl,386,conventional programme of gait retraining,http://www.ncbi.nlm.nih.gov/pubmed/21148267,Thailand,chiang mai,chiang mai,15,15,Time 50 OK,15,1,21,,53.83,25th Percentile,11.18,141,<1year,0.38630137,0,,,,,,,,,,,,,,,,,,,,,,3.44,2,gait speed,le,,speed,speed,lohse,1,0,18,22.24,9.1,,18,26.3,8.5,,,,,,0.5,4.06,8.805112151,,9.1,0.461095774,,0.955223881,0.440449694,Term G OK,All OK,,0.06146137,,0.05608059,17.83148144,,,
749,208,yang2014,yang,2014,exp,475,conventional rehab + cycling training up to cross-over,http://www.ncbi.nlm.nih.gov/pubmed/24388057,Taiwan,kaohsiung,kaohsiung,30,30,Time 50 OK,30,1,28,,53.9,25th Percentile,,333,<1year,0.912328767,1,,,,,4.4,,,17.4,,,,,,,,,,1.1,,,,,1,fma-le,le,,,other,lohse,0,0,16,24.1,7.2,,15,28.3,5.7,,,15,,,0.5,4.2,6.519096616,,7.2,0.644261045,,0.949152542,0.611502009,Term G OK,All OK,,0.075471009,,0.067991119,14.70780324,,,Data taken up to the crossover point
695,191,wang2005,wang,2005,exp,433,bobath therapy severe subset,http://www.ncbi.nlm.nih.gov/pubmed/15759530,Taiwan,taipei,taipei,13.3,13.3,Time 50 OK,13.3,1,28,,53.9,25th Percentile,,21.9,<90days,0.06,0,,,,,2 to 3,,,,,,6.09,,,11.18,11.6,,,,,,,,0,stroke impairment assessment set,,,,other,lohse,1,0,10,0.91,1.91,,10,4.1,2.81,,,,,,0.5,3.19,2.402519511,,1.91,1.327772776,,0.914285714,1.213963681,Term G OK,All OK,,0.188149027,,0.157277228,6.358199548,,,
18,8,blennerhassett2004,blennerhassett,2004,exp,16,targeted lower limb mobility therapy + usual therapy,http://www.ncbi.nlm.nih.gov/pubmed/15574110,Australia,victoria,melbourne,31.2,31.2,Time 50 OK,31.2,1,28,180,53.9,25th Percentile,19.8,36,<90days,0.098630137,1,,,,,,,,,,,,,,,,,,,,,,,0,6minwt,le,,capacity,capacity,lohse,0,1,15,183,85,,15,404,101,0,0,15,416,171,0.5,221,93.34345183,233,135.0296264,2.367600465,1.725547247,0.945454545,2.238458622,Term G OK,All OK,1.631426488,0.253517732,0.16591711,0.22661552,4.412760432,0.148310699,Yes,
725,200,wu2007,wu,2007,exp,455,CIMT,http://www.ncbi.nlm.nih.gov/pubmed/17678656,Taiwan,taipei,taipei,178.5,115.5,Time 50 OK,52.5,1,21,,53.93,25th Percentile,,375.3,>1year,1.028219178,0,,,84.42,,4.5,,,,,,,,,,,,,,,,,,0,fma-ue,ue,fma,,fma,lohse,0,0,24,39.5,13.45,,24,46.75,11.58,,,,,,0.5,7.25,12.54987849,,13.45,0.577694837,,0.967032967,0.558649952,Term G OK,All OK,,0.048619403,,0.045466568,21.99418263,,Yes,
733,203,wu2012,wu,2012,exp,463,distributed CIMT with trunk restraint,http://www.ncbi.nlm.nih.gov/pubmed/22228607,Taiwan,taipei,taipei,156,93,Time 50 OK,30,1,21,,54,25th Percentile,,471,>1year,1.290410959,0,,27.2,,,,,,,,,,,,,,,,,,,,,0,arat,ue,arat,,arat,lohse,0,0,20,35.9,16.7,,20,43.4,13.9,,,,,,0.5,7.5,15.36391877,,16.7,0.488156707,,0.96,0.468630439,Term G OK,All OK,,0.055957424,,0.051570362,19.39098275,,,
